Shipment_ID,Order_Date,Dispatch_Date,Delivery_Date,Origin_City,Destination_City,Origin_Region,Destination_Region,Distance_km,Carrier,Vehicle_Type,Package_Weight_kg,Package_Volume_m3,Priority_Level,Temperature_Sensitive,Fragile,Actual_Delivery_Time_Hours,Estimated_Delivery_Time_Hours,On_Time_Delivery,Delivery_Cost_NOK,Fuel_Cost_NOK,CO2_Emissions_kg,Route_Efficiency_Score,Weather_Condition,Traffic_Condition
SHP1937,03/02/2024,05/02/2024,05/02/2024,Tromsø,Drammen,Nord-Norge,Østlandet,557,DSV,Train,8.72,0.038,Standard,0,0,10,6.9,0,3349,803,17,55,Snow,Low
SHP1938,27/01/2024,28/01/2024,28/01/2024,Oslo,Stavanger,Østlandet,Vestlandet,540,Scandinavian Express,Truck,23.97,0.048,Express,0,0,8.6,5.9,0,9738,3402,135,53,Storm,Low
SHP1939,15/02/2024,17/02/2024,17/02/2024,Trondheim,Fredrikstad,Trøndelag,Østlandet,544,FedEx Norway,Truck,4.88,0.043,Standard,0,0,9.1,7.4,0,6529,3426,136,77,Snow,Low
SHP1940,05/03/2024,06/03/2024,07/03/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,Norsk Transport,Container Ship,26.12,0.215,Standard,0,0,46.5,46.5,1,6973,7830,313,100,Rain,Medium
SHP1941,04/01/2024,05/01/2024,05/01/2024,Stavanger,Trondheim,Vestlandet,Trøndelag,315,Bring,Truck,10.55,0.018,Express,0,0,3.8,3.2,0,5685,1987,79,80,Rain,Severe
SHP1942,17/02/2024,18/02/2024,18/02/2024,Trondheim,Drammen,Trøndelag,Østlandet,521,DHL Norway,Truck,24.38,0.215,Priority,0,0,7.1,7.1,1,7520,3284,130,100,Clear,Low
SHP1943,20/03/2024,22/03/2024,22/03/2024,Kristiansand,Drammen,Sørlandet,Østlandet,467,DB Schenker,Truck,17.93,0.038,Standard,0,0,7.3,7.3,1,5612,2942,117,100,Clear,Medium
SHP1944,02/01/2024,03/01/2024,03/01/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,Posten,Truck,11.63,0.081,Standard,0,0,6.9,6.9,1,5886,3087,122,100,Rain,Medium
SHP1945,15/01/2024,17/01/2024,17/01/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,DHL Norway,Truck,4.4,0.011,Standard,0,0,9.1,6.8,0,5882,3087,122,65,Storm,Low
SHP1946,29/02/2024,02/03/2024,02/03/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,DB Schenker,Train,2.76,0.025,Standard,1,0,7.7,6,0,2941,706,15,72,Clear,Severe
SHP1947,12/02/2024,13/02/2024,13/02/2024,Tromsø,Trondheim,Nord-Norge,Trøndelag,578,Posten,Truck,2.52,0.023,Standard,0,0,8.6,8.6,1,6937,3641,144,100,Clear,Low
SHP1948,22/02/2024,24/02/2024,24/02/2024,Kristiansand,Trondheim,Sørlandet,Trøndelag,533,Posten,Truck,30.4,0.155,Priority,0,0,7.2,5.9,0,7695,3359,133,77,Clear,High
SHP1949,23/02/2024,24/02/2024,24/02/2024,Trondheim,Drammen,Trøndelag,Østlandet,229,DHL Norway,Truck,31.84,0.21,Standard,0,0,3.6,3.6,1,2768,1445,57,100,Clear,Medium
SHP1950,08/03/2024,09/03/2024,09/03/2024,Trondheim,Bergen,Trøndelag,Vestlandet,610,Posten,Train,12.9,0.042,Standard,0,0,8.8,8.8,1,3666,878,18,100,Rain,Low
SHP1951,16/03/2024,17/03/2024,17/03/2024,Trondheim,Bergen,Trøndelag,Vestlandet,610,Posten,Truck,21.52,0.061,Standard,1,0,9.8,9.8,1,7331,3843,152,100,Clear,Low
SHP1952,09/02/2024,11/02/2024,11/02/2024,Oslo,Bodø,Østlandet,Nord-Norge,421,Bring,Truck,25.13,0.085,Standard,0,0,6.8,6.8,1,5062,2651,105,100,Clear,Low
SHP1953,08/01/2024,10/01/2024,10/01/2024,Tromsø,Bergen,Nord-Norge,Vestlandet,384,Posten,Truck,7.17,0.053,Standard,1,0,6.4,6.4,1,4613,2420,96,100,Clear,Low
SHP1954,29/03/2024,30/03/2024,30/03/2024,Bergen,Fredrikstad,Vestlandet,Østlandet,392,Norsk Transport,Truck,9.92,0.021,Standard,0,0,6.9,5.8,0,4714,2472,98,81,Rain,High
SHP1955,21/02/2024,22/02/2024,22/02/2024,Bergen,Bergen,Vestlandet,Vestlandet,41,DSV,Van,5.43,0.014,Express,0,1,2,2,1,494,88,5,100,Clear,Medium
SHP1956,18/01/2024,19/01/2024,19/01/2024,Stavanger,Drammen,Vestlandet,Østlandet,329,DSV,Truck,5.42,0.011,Standard,0,0,6.4,5.3,0,3945,2070,82,78,Snow,Medium
SHP1957,18/01/2024,19/01/2024,19/01/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,Norsk Transport,Train,0.39,0.001,Standard,1,0,6.9,6.9,1,2940,706,15,100,Clear,Medium
SHP1958,14/01/2024,16/01/2024,16/01/2024,Oslo,Kristiansand,Østlandet,Sørlandet,535,DSV,Truck,5.69,0.047,Express,1,1,5,5,1,9642,3373,134,100,Clear,Low
SHP1959,21/03/2024,23/03/2024,23/03/2024,Drammen,Kristiansand,Østlandet,Sørlandet,556,Bring,Train,11.19,0.069,Standard,0,0,7.1,7.1,1,3340,800,17,100,Clear,Low
SHP1960,22/01/2024,24/01/2024,24/01/2024,Oslo,Fredrikstad,Østlandet,Østlandet,441,DHL Norway,Train,5.48,0.033,Standard,0,0,5.5,5.5,1,2649,635,13,100,Clear,Low
SHP1961,29/02/2024,01/03/2024,01/03/2024,Trondheim,Ålesund,Trøndelag,Vestlandet,467,Bring,Truck,20.59,0.117,Express,0,0,4.9,4.9,1,8427,2944,117,100,Clear,Low
SHP1962,02/02/2024,03/02/2024,03/02/2024,Oslo,Drammen,Østlandet,Østlandet,414,Bring,Truck,4.04,0.031,Standard,0,0,6.9,6.9,1,4965,2606,103,100,Clear,Low
SHP1963,25/03/2024,26/03/2024,26/03/2024,Bergen,Oslo,Vestlandet,Østlandet,407,PostNord,Truck,1.42,0.012,Standard,0,0,6.7,6.7,1,4882,2563,102,100,Rain,Medium
SHP1964,01/02/2024,02/02/2024,02/02/2024,Oslo,Stavanger,Østlandet,Vestlandet,540,DHL Norway,Truck,16.69,0.149,Express,0,0,6.5,6.5,1,9733,3402,135,100,Clear,Low
SHP1965,05/01/2024,07/01/2024,07/01/2024,Bergen,Bodø,Vestlandet,Nord-Norge,214,DHL Norway,Truck,11.21,0.054,Priority,0,0,3.6,2.4,0,3084,1346,53,49,Snow,Severe
SHP1966,01/03/2024,03/03/2024,03/03/2024,Drammen,Oslo,Østlandet,Østlandet,429,Scandinavian Express,Truck,2.77,0.004,Standard,0,0,5.5,5.5,1,5150,2703,107,100,Clear,Low
SHP1967,20/01/2024,21/01/2024,21/01/2024,Oslo,Drammen,Østlandet,Østlandet,310,DHL Norway,Truck,7.69,0.049,Standard,0,0,4.5,4.5,1,3728,1955,78,100,Clear,Low
SHP1968,14/03/2024,16/03/2024,16/03/2024,Stavanger,Bergen,Vestlandet,Vestlandet,210,PostNord,Truck,5.14,0.042,Standard,0,1,3,3,1,2523,1323,52,100,Clear,Medium
SHP1969,15/02/2024,17/02/2024,17/02/2024,Stavanger,Trondheim,Vestlandet,Trøndelag,540,FedEx Norway,Train,27.95,0.059,Standard,1,1,6.1,6.1,1,3251,777,16,100,Fog,Medium
SHP1970,08/01/2024,10/01/2024,10/01/2024,Trondheim,Oslo,Trøndelag,Østlandet,490,Posten,Truck,9.35,0.015,Standard,0,0,7.9,7,0,5885,3087,122,87,Clear,Severe
SHP1971,14/03/2024,16/03/2024,16/03/2024,Bodø,Stavanger,Nord-Norge,Vestlandet,200,Bring,Truck,1.72,0.006,Priority,0,0,2.8,2.8,1,2883,1261,50,100,Clear,Medium
SHP1972,14/01/2024,16/01/2024,16/01/2024,Drammen,Ålesund,Østlandet,Vestlandet,364,PostNord,Truck,6.97,0.033,Standard,0,0,5.3,5.3,1,4375,2295,91,100,Clear,Low
SHP1973,07/01/2024,08/01/2024,08/01/2024,Oslo,Kristiansand,Østlandet,Sørlandet,554,DSV,Truck,19.85,0.18,Standard,0,0,12.2,9.5,0,6663,3493,139,72,Rain,High
SHP1974,25/03/2024,26/03/2024,26/03/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,Posten,Train,11.13,0.015,Standard,0,1,6.1,4.9,0,2346,562,12,76,Rain,Severe
SHP1975,19/01/2024,21/01/2024,21/01/2024,Oslo,Stavanger,Østlandet,Vestlandet,540,Bring,Truck,18.48,0.047,Priority,0,1,7.4,6.2,0,7787,3402,135,81,Clear,High
SHP1976,04/03/2024,05/03/2024,05/03/2024,Trondheim,Trondheim,Trøndelag,Trøndelag,31,Bring,Van,2.88,0.025,Standard,0,0,2.6,2,0,250,67,4,70,Rain,High
SHP1977,10/01/2024,11/01/2024,11/01/2024,Oslo,Bergen,Østlandet,Vestlandet,404,DSV,Truck,21.92,0.028,Standard,0,0,6.1,6.1,1,4853,2542,101,100,Clear,Low
SHP1978,03/03/2024,04/03/2024,04/03/2024,Stavanger,Stavanger,Vestlandet,Vestlandet,22,DHL Norway,Van,14.09,0.05,Express,1,0,2.3,2,0,269,46,3,84,Clear,High
SHP1979,10/01/2024,11/01/2024,11/01/2024,Trondheim,Bodø,Trøndelag,Nord-Norge,458,Norsk Transport,Truck,13.05,0.124,Standard,0,0,8.5,7.6,0,5502,2885,114,88,Rain,Severe
SHP1980,15/03/2024,16/03/2024,16/03/2024,Bergen,Stavanger,Vestlandet,Vestlandet,210,PostNord,Truck,4.25,0.006,Standard,0,0,4.4,3.1,0,2522,1323,52,57,Storm,Medium
SHP1981,10/03/2024,12/03/2024,12/03/2024,Fredrikstad,Drammen,Østlandet,Østlandet,507,DHL Norway,Truck,21.86,0.091,Standard,0,0,6.7,6.7,1,6093,3193,127,100,Rain,Medium
SHP1982,21/02/2024,22/02/2024,22/02/2024,Oslo,Bergen,Østlandet,Vestlandet,251,DSV,Van,10.16,0.08,Priority,0,1,4.8,4.8,1,2413,541,30,100,Clear,Medium
SHP1983,17/01/2024,18/01/2024,18/01/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,Bring,Truck,19.09,0.12,Priority,0,0,7,7,1,7067,3087,122,100,Clear,Low
SHP1984,13/02/2024,14/02/2024,14/02/2024,Drammen,Kristiansand,Østlandet,Sørlandet,428,Bring,Truck,4.48,0.04,Standard,0,1,6.7,6.7,1,5135,2695,107,100,Fog,Medium
SHP1985,31/01/2024,02/02/2024,02/02/2024,Stavanger,Kristiansand,Vestlandet,Sørlandet,245,DB Schenker,Truck,1.57,0.013,Standard,1,0,4.8,3.8,0,2943,1545,61,75,Clear,High
SHP1986,13/03/2024,15/03/2024,15/03/2024,Drammen,Stavanger,Østlandet,Vestlandet,393,Posten,Train,4.04,0.02,Standard,0,1,5.1,5.1,1,2362,566,12,100,Rain,Low
SHP1987,21/01/2024,22/01/2024,22/01/2024,Bergen,Drammen,Vestlandet,Østlandet,202,DSV,Van,6.07,0.053,Standard,0,0,4.1,4.1,1,1616,436,24,100,Rain,Medium
SHP1988,11/01/2024,13/01/2024,13/01/2024,Oslo,Oslo,Østlandet,Østlandet,27,DB Schenker,Van,7.62,0.027,Express,0,0,2,2,1,330,58,3,100,Clear,Medium
SHP1989,25/02/2024,26/02/2024,26/02/2024,Fredrikstad,Ålesund,Østlandet,Vestlandet,479,Bring,Train,7.15,0.041,Standard,0,1,6.8,6.8,1,2878,690,14,100,Clear,Low
SHP1990,28/02/2024,01/03/2024,01/03/2024,Fredrikstad,Ålesund,Østlandet,Vestlandet,258,Norsk Transport,Truck,7.9,0.069,Express,0,0,3,3,1,4659,1629,65,100,Clear,Medium
SHP1991,17/01/2024,18/01/2024,18/01/2024,Drammen,Ålesund,Østlandet,Vestlandet,301,DB Schenker,Truck,18.43,0.155,Standard,0,0,5,5,1,3618,1895,75,100,Clear,Medium
SHP1992,02/02/2024,04/02/2024,04/02/2024,Oslo,Oslo,Østlandet,Østlandet,19,Posten,Van,1.86,0.018,Express,0,0,2.8,2,0,229,41,2,58,Storm,Low
SHP1993,28/01/2024,29/01/2024,29/01/2024,Trondheim,Drammen,Trøndelag,Østlandet,463,DSV,Truck,3.8,0.029,Priority,0,1,7.1,6.2,0,6668,2916,116,85,Clear,High
SHP1994,24/02/2024,26/02/2024,26/02/2024,Bergen,Ålesund,Vestlandet,Vestlandet,276,DB Schenker,Truck,21.95,0.095,Standard,0,0,5.6,4.7,0,3329,1742,69,81,Clear,Severe
SHP1995,03/02/2024,05/02/2024,05/02/2024,Oslo,Bodø,Østlandet,Nord-Norge,321,Bring,Train,8.22,0.046,Standard,0,0,4.5,4.5,1,1928,462,10,100,Rain,Low
SHP1996,08/01/2024,09/01/2024,10/01/2024,Tromsø,Oslo,Nord-Norge,Østlandet,1740,Posten,Container Ship,8.76,0.028,Standard,0,1,44.3,44.3,1,6964,7830,313,100,Clear,Medium
SHP1997,22/01/2024,23/01/2024,23/01/2024,Oslo,Oslo,Østlandet,Østlandet,28,DSV,Van,6.5,0.05,Express,0,0,2,2,1,343,61,3,100,Clear,Low
SHP1998,03/03/2024,05/03/2024,05/03/2024,Bodø,Trondheim,Nord-Norge,Trøndelag,518,Norsk Transport,Truck,7.96,0.018,Standard,0,1,7.1,7.1,1,6218,3262,129,100,Rain,Medium
SHP1999,06/03/2024,07/03/2024,07/03/2024,Bergen,Trondheim,Vestlandet,Trøndelag,610,DSV,Truck,2.21,0.018,Express,0,0,9.8,7,0,10982,3843,152,60,Snow,Low
SHP2000,26/01/2024,28/01/2024,28/01/2024,Oslo,Bergen,Østlandet,Vestlandet,288,FedEx Norway,Truck,7.92,0.052,Standard,0,0,4.4,4.4,1,3459,1814,72,100,Clear,Low
SHP2001,17/01/2024,19/01/2024,19/01/2024,Stavanger,Bodø,Vestlandet,Nord-Norge,338,DHL Norway,Train,58.69,0.1,Standard,0,0,5.4,4.3,0,2058,487,10,75,Snow,Low
SHP2002,06/03/2024,08/03/2024,08/03/2024,Kristiansand,Bodø,Sørlandet,Nord-Norge,248,Posten,Van,8.35,0.018,Standard,0,0,5.6,5.6,1,1989,536,30,100,Clear,Low
SHP2003,25/01/2024,27/01/2024,27/01/2024,Drammen,Bergen,Østlandet,Vestlandet,368,PostNord,Train,0.45,0.003,Priority,0,0,3.7,3.7,1,2652,530,11,100,Rain,Low
SHP2004,10/02/2024,11/02/2024,11/02/2024,Fredrikstad,Bodø,Østlandet,Nord-Norge,534,Bring,Truck,15.92,0.026,Standard,0,0,7.8,7.8,1,6411,3362,133,100,Clear,Medium
SHP2005,05/01/2024,07/01/2024,07/01/2024,Trondheim,Fredrikstad,Trøndelag,Østlandet,215,Bring,Truck,5.05,0.014,Standard,0,1,3.1,3.1,1,2586,1357,54,100,Clear,Low
SHP2006,18/01/2024,19/01/2024,19/01/2024,Drammen,Tromsø,Østlandet,Nord-Norge,423,DB Schenker,Train,1.67,0.009,Priority,0,1,4.8,4.8,1,3048,609,13,100,Clear,Low
SHP2007,13/01/2024,15/01/2024,15/01/2024,Kristiansand,Ålesund,Sørlandet,Vestlandet,330,PostNord,Truck,19.84,0.104,Express,0,0,3.9,3.9,1,5960,2081,83,100,Clear,Low
SHP2008,10/03/2024,11/03/2024,11/03/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,Posten,Truck,2.21,0.022,Express,0,0,5.4,5.4,1,8822,3087,122,100,Clear,Low
SHP2009,24/03/2024,25/03/2024,25/03/2024,Stavanger,Bergen,Vestlandet,Vestlandet,210,Norsk Transport,Van,25.35,0.074,Standard,1,0,4.7,3.8,0,1693,454,25,77,Snow,Low
SHP2010,17/01/2024,19/01/2024,19/01/2024,Oslo,Bergen,Østlandet,Vestlandet,316,PostNord,Truck,5.83,0.007,Standard,0,0,4.9,4.9,1,3800,1993,79,100,Rain,Low
SHP2011,27/01/2024,29/01/2024,29/01/2024,Ålesund,Bodø,Vestlandet,Nord-Norge,361,Norsk Transport,Truck,13.58,0.088,Standard,1,0,6.3,4.9,0,4339,2274,90,72,Rain,High
SHP2012,29/02/2024,02/03/2024,02/03/2024,Bodø,Oslo,Nord-Norge,Østlandet,399,Bring,Truck,7.92,0.031,Express,0,0,4.6,4.6,1,7194,2516,100,100,Clear,Medium
SHP2013,15/03/2024,17/03/2024,17/03/2024,Oslo,Kristiansand,Østlandet,Sørlandet,415,Norsk Transport,Train,2.97,0.028,Standard,0,0,6.7,4.8,0,2493,598,12,62,Snow,Medium
SHP2014,28/03/2024,30/03/2024,30/03/2024,Drammen,Stavanger,Østlandet,Vestlandet,363,Bring,Truck,11.12,0.042,Standard,0,0,8.6,5.8,0,4362,2287,91,51,Snow,Medium
SHP2015,26/02/2024,27/02/2024,27/02/2024,Tromsø,Stavanger,Nord-Norge,Vestlandet,413,Posten,Truck,31.68,0.299,Express,0,0,6.2,4.8,0,7457,2602,103,73,Clear,High
SHP2016,03/01/2024,04/01/2024,04/01/2024,Oslo,Bergen,Østlandet,Vestlandet,411,PostNord,Truck,14.68,0.107,Standard,0,0,5.6,5.6,1,4945,2592,103,100,Clear,Medium
SHP2017,15/02/2024,17/02/2024,17/02/2024,Stavanger,Ålesund,Vestlandet,Vestlandet,477,PostNord,Truck,9.26,0.068,Standard,0,0,6.7,6.7,1,5730,3006,119,100,Clear,Low
SHP2018,09/02/2024,10/02/2024,10/02/2024,Tromsø,Fredrikstad,Nord-Norge,Østlandet,522,DSV,Truck,46.7,0.251,Standard,0,0,9.6,7.7,0,6281,3285,130,75,Clear,High
SHP2019,18/01/2024,19/01/2024,19/01/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,DSV,Train,3.08,0.021,Standard,0,0,6.9,5.3,0,2342,562,12,69,Storm,Low
SHP2020,25/01/2024,26/01/2024,26/01/2024,Drammen,Bergen,Østlandet,Vestlandet,427,Posten,Truck,0.64,0.002,Standard,0,0,7.8,7.1,0,5123,2690,107,89,Clear,Severe
SHP2021,01/02/2024,02/02/2024,02/02/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,DB Schenker,Truck,0.33,0.002,Express,0,0,4.6,4.6,1,7020,2457,98,100,Clear,Low
SHP2022,18/03/2024,20/03/2024,20/03/2024,Tromsø,Trondheim,Nord-Norge,Trøndelag,559,Bring,Truck,12.4,0.045,Express,1,0,6.4,6.4,1,10068,3520,140,100,Rain,Low
SHP2023,30/01/2024,31/01/2024,31/01/2024,Ålesund,Ålesund,Vestlandet,Vestlandet,44,DSV,Van,17.73,0.138,Standard,0,1,2.5,2,0,363,95,5,76,Clear,High
SHP2024,04/01/2024,05/01/2024,05/01/2024,Bodø,Bodø,Nord-Norge,Nord-Norge,50,Bring,Van,10.08,0.041,Standard,0,0,2,2,1,403,107,6,100,Clear,Low
SHP2025,01/03/2024,02/03/2024,02/03/2024,Stavanger,Bodø,Vestlandet,Nord-Norge,426,Scandinavian Express,Truck,23.54,0.161,Standard,1,0,6.6,6.6,1,5118,2681,106,100,Clear,Low
SHP2026,18/01/2024,20/01/2024,20/01/2024,Kristiansand,Fredrikstad,Sørlandet,Østlandet,536,DB Schenker,Truck,11.97,0.077,Priority,0,0,6.3,6.3,1,7727,3377,134,100,Clear,Low
SHP2027,11/01/2024,12/01/2024,12/01/2024,Kristiansand,Trondheim,Sørlandet,Trøndelag,459,PostNord,Truck,4.64,0.037,Standard,0,0,6.8,6.8,1,5505,2889,115,100,Clear,Medium
SHP2028,28/01/2024,29/01/2024,29/01/2024,Bergen,Kristiansand,Vestlandet,Sørlandet,599,Norsk Transport,Truck,2,0.014,Priority,0,0,6.8,6.8,1,8629,3775,150,100,Rain,Low
SHP2029,02/01/2024,04/01/2024,04/01/2024,Kristiansand,Oslo,Sørlandet,Østlandet,580,DSV,Truck,25.86,0.257,Express,0,0,5.5,5.5,1,10456,3653,145,100,Clear,Medium
SHP2030,18/02/2024,19/02/2024,19/02/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,Posten,Truck,1.09,0.006,Standard,1,0,8.3,8.3,1,5881,3087,122,100,Clear,Medium
SHP2031,12/01/2024,13/01/2024,13/01/2024,Trondheim,Drammen,Trøndelag,Østlandet,344,Posten,Truck,7.83,0.051,Standard,0,0,5,5,1,4126,2164,86,100,Clear,Low
SHP2032,12/02/2024,13/02/2024,15/02/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,PostNord,Container Ship,3.77,0.014,Standard,0,0,66.1,48.9,0,6962,7830,313,65,Clear,Medium
SHP2033,18/02/2024,20/02/2024,20/02/2024,Oslo,Bergen,Østlandet,Vestlandet,262,Bring,Truck,3.17,0.02,Standard,0,1,4.7,3.7,0,3150,1653,66,75,Rain,Severe
SHP2034,25/01/2024,27/01/2024,27/01/2024,Oslo,Drammen,Østlandet,Østlandet,258,DSV,Van,10.38,0.034,Standard,0,0,6.1,4.7,0,2072,558,31,70,Clear,Severe
SHP2035,09/03/2024,11/03/2024,11/03/2024,Drammen,Fredrikstad,Østlandet,Østlandet,440,Posten,Train,2.63,0.022,Standard,0,0,5.3,5.3,1,2642,634,13,100,Rain,Low
SHP2036,24/03/2024,26/03/2024,26/03/2024,Bergen,Drammen,Vestlandet,Østlandet,214,Bring,Truck,24.81,0.157,Standard,0,0,3.6,3.6,1,2578,1347,53,100,Clear,Medium
SHP2037,04/01/2024,05/01/2024,05/01/2024,Drammen,Bodø,Østlandet,Nord-Norge,495,DSV,Truck,5.21,0.018,Standard,0,0,9.5,7.8,0,5939,3117,124,78,Rain,High
SHP2038,25/02/2024,27/02/2024,27/02/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,Scandinavian Express,Truck,11.31,0.101,Standard,0,0,8.3,6.6,0,4686,2457,98,75,Rain,High
SHP2039,01/01/2024,02/01/2024,02/01/2024,Bergen,Oslo,Vestlandet,Østlandet,320,DB Schenker,Train,13.01,0.104,Standard,0,0,4.3,4.3,1,1927,461,10,100,Clear,Low
SHP2040,06/01/2024,08/01/2024,08/01/2024,Stavanger,Stavanger,Vestlandet,Vestlandet,24,Norsk Transport,Van,11.49,0.021,Standard,0,0,2.6,2,0,199,52,3,70,Storm,Low
SHP2041,10/01/2024,11/01/2024,11/01/2024,Fredrikstad,Bergen,Østlandet,Vestlandet,338,Norsk Transport,Truck,23.37,0.056,Express,0,1,3.1,3.1,1,6110,2132,85,100,Clear,Low
SHP2042,14/01/2024,15/01/2024,15/01/2024,Bergen,Stavanger,Vestlandet,Vestlandet,210,Posten,Truck,2.63,0.025,Express,0,0,2.9,2,0,3782,1323,52,53,Snow,Low
SHP2043,06/02/2024,07/02/2024,07/02/2024,Trondheim,Ålesund,Trøndelag,Vestlandet,262,Bring,Truck,0.9,0.003,Standard,0,0,4.1,4.1,1,3145,1651,66,100,Clear,Low
SHP2044,24/03/2024,25/03/2024,25/03/2024,Tromsø,Bodø,Nord-Norge,Nord-Norge,283,PostNord,Van,0.57,0.001,Standard,1,0,5.5,5.5,1,2262,611,34,100,Clear,Medium
SHP2045,09/01/2024,11/01/2024,11/01/2024,Trondheim,Bodø,Trøndelag,Nord-Norge,406,FedEx Norway,Truck,21.02,0.171,Standard,0,1,5.7,5.7,1,4887,2560,102,100,Clear,Low
SHP2046,23/03/2024,25/03/2024,25/03/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,DSV,Truck,36.23,0.193,Standard,0,0,6.2,5.1,0,4698,2457,98,78,Rain,High
SHP2047,08/01/2024,10/01/2024,10/01/2024,Oslo,Bergen,Østlandet,Vestlandet,356,Scandinavian Express,Truck,3.6,0.018,Standard,0,1,4.7,4.7,1,4276,2244,89,100,Rain,Low
SHP2048,22/03/2024,24/03/2024,24/03/2024,Kristiansand,Stavanger,Sørlandet,Vestlandet,206,Posten,Truck,11.83,0.039,Priority,0,1,3,3,1,2971,1297,51,100,Clear,Low
SHP2049,30/01/2024,01/02/2024,01/02/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,Bring,Train,0.1,0,Standard,0,0,6.9,6.9,1,2940,706,15,100,Rain,Low
SHP2050,21/02/2024,23/02/2024,23/02/2024,Kristiansand,Bodø,Sørlandet,Nord-Norge,594,DB Schenker,Truck,2.09,0.01,Standard,0,0,12.5,9.3,0,7128,3742,148,66,Snow,Medium
SHP2051,11/03/2024,12/03/2024,12/03/2024,Stavanger,Stavanger,Vestlandet,Vestlandet,13,DSV,Van,11.69,0.062,Express,0,1,2,2,1,159,27,2,100,Rain,Medium
SHP2052,01/03/2024,03/03/2024,03/03/2024,Bodø,Kristiansand,Nord-Norge,Sørlandet,509,Posten,Truck,0.68,0.003,Standard,0,0,8.1,8.1,1,6104,3204,127,100,Clear,Medium
SHP2053,13/03/2024,15/03/2024,15/03/2024,Fredrikstad,Stavanger,Østlandet,Vestlandet,395,Bring,Truck,6.32,0.027,Standard,0,1,6.7,6.7,1,4748,2491,99,100,Clear,Low
SHP2054,11/03/2024,13/03/2024,13/03/2024,Ålesund,Kristiansand,Vestlandet,Sørlandet,534,Posten,Truck,10.86,0.105,Express,0,0,5.5,5.5,1,9628,3367,134,100,Clear,Low
SHP2055,27/03/2024,28/03/2024,28/03/2024,Bergen,Kristiansand,Vestlandet,Sørlandet,502,DB Schenker,Truck,14.52,0.057,Standard,1,0,7.9,7.9,1,6032,3163,126,100,Clear,Medium
SHP2056,15/02/2024,16/02/2024,16/02/2024,Fredrikstad,Bodø,Østlandet,Nord-Norge,248,FedEx Norway,Truck,6.05,0.011,Standard,0,0,3.3,3.3,1,2979,1563,62,100,Clear,Low
SHP2057,19/01/2024,20/01/2024,20/01/2024,Bergen,Bergen,Vestlandet,Vestlandet,39,FedEx Norway,Van,9.95,0.089,Express,0,0,2,2,1,477,84,5,100,Clear,Low
SHP2058,11/03/2024,12/03/2024,12/03/2024,Stavanger,Fredrikstad,Vestlandet,Østlandet,367,DB Schenker,Truck,7.76,0.056,Express,0,0,4.4,3.5,0,6612,2312,92,76,Storm,Low
SHP2059,26/03/2024,28/03/2024,28/03/2024,Trondheim,Bodø,Trøndelag,Nord-Norge,443,DSV,Train,0.54,0.004,Priority,0,0,4.6,4.6,1,3187,637,13,100,Rain,Medium
SHP2060,01/02/2024,03/02/2024,03/02/2024,Kristiansand,Bergen,Sørlandet,Vestlandet,419,DSV,Truck,13.58,0.022,Express,0,1,5.4,4.1,0,7544,2637,105,68,Snow,Medium
SHP2061,28/02/2024,29/02/2024,29/02/2024,Ålesund,Bergen,Vestlandet,Vestlandet,410,Posten,Truck,1.89,0.016,Standard,1,0,6,6,1,4923,2584,103,100,Fog,Low
SHP2062,21/01/2024,22/01/2024,22/01/2024,Fredrikstad,Drammen,Østlandet,Østlandet,351,Bring,Truck,0.32,0.002,Express,0,0,3.5,3.5,1,6313,2210,88,100,Rain,Low
SHP2063,28/03/2024,29/03/2024,29/03/2024,Bergen,Ålesund,Vestlandet,Vestlandet,506,Posten,Truck,6,0.043,Priority,0,0,6.8,6.8,1,7289,3187,126,100,Clear,Low
SHP2064,17/01/2024,18/01/2024,18/01/2024,Bergen,Ålesund,Vestlandet,Vestlandet,576,DHL Norway,Truck,20.07,0.114,Priority,0,0,6.8,6.8,1,8300,3626,144,100,Rain,Low
SHP2065,26/01/2024,28/01/2024,28/01/2024,Drammen,Ålesund,Østlandet,Vestlandet,501,Norsk Transport,Train,1.63,0.014,Express,0,1,5,5,1,4507,721,15,100,Clear,Medium
SHP2066,09/01/2024,10/01/2024,12/01/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,DSV,Container Ship,0.13,0,Standard,0,0,60.5,51,0,6960,7830,313,81,Clear,High
